,sentence1,sentence21,sentence22,pronoun,referent1,wrong_referent1,referent2,wrong_referent2
61,The sniper targeted the terrorist,He was a brutal cyber criminal,He was a precise marksman,He,terrorist,sniper,sniper,terrorist
62,The sniper took out the terrorist,He was a dangerous money launderer,He was a dangerous militant,He,terrorist,sniper,terrorist,sniper
63,The sniper eliminated the terrorist,He was a resourceful killer,He was a notorious cyber criminal,He,sniper,terrorist,terrorist,sniper
64,The sniper killed the terrorist,He was a winning marksman,He was a notorious guy,He,sniper,terrorist,terrorist,sniper
65,The sniper eliminated the terrorist,He was a notorious human rights abuser,He was a ruthless human trafficker,He,terrorist,sniper,terrorist,sniper
66,The sniper executed the terrorist,He was a ruthless bomb maker,He was a ruthless murderer,He,terrorist,sniper,terrorist,sniper
67,The accurate sniper neutralized the terrorist,He was a successful killer,He was a brutal drug lord,He,sniper,terrorist,terrorist,sniper
68,The storm posed a threat to the international flight,It was carrying essential supplies,It was bringing high winds,It,flight,storm,storm,flight
69,The strong storm suspended the flight,It was flying to Hawaii,It was headed for Europe,It,flight,storm,flight,storm
70,The sniper took aim the terrorist,He was a notorious combatant,He was a brutal warmonger,He,terrorist,sniper,terrorist,sniper
71,The sniper targeted the terrorist,He was a ruthless killer,He was a winning marksman,He,terrorist,sniper,sniper,terrorist
72,The people joined a nonviolent protest against the government,They were seeking better solutions,They were demanding freedom,They,people,government,people,government
73,The sniper targeted the terrorist,He was a notorious human rights violator,He was a resourceful assassin,He,terrorist,sniper,sniper,terrorist
74,The accurate sniper took aim the terrorist,He was a successful assassin,He was a brutal criminal,He,sniper,terrorist,terrorist,sniper
75,The sniper neutralized the brutal terrorist,He was a resourceful shooter,He was a resourceful sharpshooter,He,sniper,terrorist,sniper,terrorist
76,The sniper eliminated the terrorist,He was a brutal dealer,He was a resourceful assassin,He,terrorist,sniper,sniper,terrorist
77,The sniper took down the terrorist,He was a brutal guy,He was a notorious warlord,He,terrorist,sniper,terrorist,sniper
78,The winning sniper targeted the terrorist,He was a top marksman,He was a top killer,He,sniper,terrorist,sniper,terrorist
79,The people formed a human chain against the government,They were fighting for freedom,They were perpetuating violence,They,people,government,government,people
80,The sniper neutralized the terrorist,He was a ruthless combatant,He was a accurate killer,He,terrorist,sniper,sniper,terrorist
81,The students learned from the comedy books,They were mastering new material,They were filled with data,They,students,books,books,students
82,The storm overwhelmed the international flight,It was making road conditions hazardous,It was putting travelers in danger,It,storm,flight,storm,flight
83,The sniper fired the terrorist,He was a notorious arms smuggler,He was a notorious warlord,He,terrorist,sniper,terrorist,sniper
84,The storm devastated the morning flight,It was causing flash floods,It was bringing high winds,It,storm,flight,storm,flight
85,The sniper assassinated the terrorist,He was a brutal human trafficker,He was a ruthless warlord,He,terrorist,sniper,terrorist,sniper
86,The sniper took out the terrorist,He was a dangerous warlord,He was a precise killer,He,terrorist,sniper,sniper,terrorist
87,The sniper took aim the terrorist,He was a dangerous dealer,He was a dangerous murderer,He,terrorist,sniper,terrorist,sniper
88,The police caught the criminals for hours,They were armed with knives and guns,They were quick and agile,They,criminals,police,criminals,police
89,The sailors leapt off the boats,They were not paying attention,They were avoiding capsizing,They,sailors,boats,sailors,boats
90,The inexperienced sailors left the boats,They were not properly operated,They were malfunctioning,They,boats,sailors,boats,sailors
91,The bee examined the flower,It was overflowing with nectar,It was rich in nectar,It,flower,bee,flower,bee
92,The sniper eliminated the terrorist,He was a ruthless drug lord,He was a dangerous combatant,He,terrorist,sniper,terrorist,sniper
93,The people organized a strike against the government,They were violating civil liberties,They were denying justice,They,government,people,government,people
94,The students studied the books,They were improving their skills,They were visually stunning,They,students,books,books,students
95,The sniper took out the terrorist,He was a precise marksman,He was a accurate sharpshooter,He,sniper,terrorist,sniper,terrorist
96,The accurate sniper targeted the terrorist,He was a ruthless war criminal,He was a top marksman,He,terrorist,sniper,sniper,terrorist
97,The sniper executed the terrorist,He was a brutal extremist,He was a brutal militant,He,terrorist,sniper,terrorist,sniper
98,The hard-working students pored over the comedy books,They were seeking knowledge,They were finding their passions,They,students,books,students,books
99,The sniper targeted the terrorist,He was a ruthless human rights violator,He was a notorious murderer,He,terrorist,sniper,terrorist,sniper
100,The bee worked on the flower,It was magnificent,It was obtaining pollen,It,flower,bee,bee,flower
101,The sniper eliminated the terrorist,He was a notorious bomb maker,He was a ruthless cyber criminal,He,terrorist,sniper,terrorist,sniper
102,The sniper killed the terrorist,He was a notorious combatant,He was a dangerous arms dealer,He,terrorist,sniper,terrorist,sniper
103,The sniper took aim the terrorist,He was a dangerous killer,He was a ruthless combatant,He,terrorist,sniper,terrorist,sniper
104,The sniper took aim the terrorist,He was a accurate assassin,He was a ruthless human rights violator,He,sniper,terrorist,terrorist,sniper
105,The sailors abandoned the boats,They were lacking necessary supplies,They were sinking,They,boats,sailors,boats,sailors
106,The storm interrupted the scheduled flight,It was carrying essential supplies,It was full of passengers,It,flight,storm,flight,storm
107,The sniper neutralized the terrorist,He was a notorious human trafficker,He was a resourceful marksman,He,terrorist,sniper,sniper,terrorist
108,The sailors plunged off the boats,They were not equipped,They were experiencing mechanical failure,They,sailors,boats,boats,sailors
109,The sniper targeted the terrorist,He was a brutal warlord,He was a precise killer,He,terrorist,sniper,sniper,terrorist
110,The sniper eliminated the terrorist,He was a precise sharpshooter,He was a ruthless bomber,He,sniper,terrorist,terrorist,sniper
111,The storm caused the flight,It was causing flash floods,It was bringing high winds,It,storm,flight,storm,flight
112,The sniper fired the terrorist,He was a notorious warlord,He was a ruthless assassin,He,terrorist,sniper,terrorist,sniper
113,The storm devastated the flight,It was flying to Hawaii,It was headed for Europe,It,flight,storm,flight,storm
114,The sniper took out the terrorist,He was a dangerous human trafficker,He was a notorious criminal,He,terrorist,sniper,terrorist,sniper
115,The birds found the seeds,They were a tasty treat,They were a joyful food,They,seeds,birds,seeds,birds
116,The sniper neutralized the terrorist,He was a winning shooter,He was a brutal combatant,He,sniper,terrorist,terrorist,sniper
117,The storm posed a threat to the international flight,It was producing tornadoes,It was bringing high winds,It,storm,flight,storm,flight
118,The sniper targeted the terrorist,He was a ruthless guy,He was a resourceful assassin,He,terrorist,sniper,sniper,terrorist
119,The sniper eliminated the terrorist,He was a dangerous launderer,He was a notorious extremist,He,terrorist,sniper,terrorist,sniper
120,The sniper neutralized the terrorist,He was a winning shooter,He was a dangerous militant,He,sniper,terrorist,terrorist,sniper
121,The resourceful sniper killed the terrorist,He was a talented killer,He was a veteran sharpshooter,He,sniper,terrorist,sniper,terrorist
122,The storm ruined the flight,It was carrying important documents,It was producing tornadoes,It,flight,storm,storm,flight
123,The sniper neutralized the terrorist,He was a ruthless killer,He was a ruthless launderer,He,terrorist,sniper,terrorist,sniper
124,The sniper took down the terrorist,He was a accurate sharpshooter,He was a brutal assassin,He,sniper,terrorist,terrorist,sniper
125,The proactive people organized a rally against the government,They were fighting for their future,They were seeking reform,They,people,government,people,government
126,The sniper eliminated the terrorist,He was a precise killer,He was a ruthless bomber,He,sniper,terrorist,terrorist,sniper
127,The sniper took down the terrorist,He was a ruthless criminal,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
128,The sniper neutralized the terrorist,He was a dangerous militant,He was a dangerous human trafficker,He,terrorist,sniper,terrorist,sniper
129,The sniper neutralized the terrorist,He was a notorious extremist,He was a dangerous launderer,He,terrorist,sniper,terrorist,sniper
130,The storm disrupted the flight,It was bringing high winds,It was making road conditions hazardous,It,storm,flight,storm,flight
131,The sniper killed the terrorist,He was a brutal drug lord,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
132,The sniper killed the terrorist,He was a ruthless killer,He was a ruthless murderer,He,terrorist,sniper,terrorist,sniper
133,The bee gathered pollen from the flower,It was collecting valuable pollen,It was loaded with nectar,It,bee,flower,flower,bee
134,The sniper took out the terrorist,He was a dangerous combatant,He was a notorious arms smuggler,He,terrorist,sniper,terrorist,sniper
135,The sniper targeted the terrorist,He was a resourceful killer,He was a ruthless cyber criminal,He,sniper,terrorist,terrorist,sniper
136,The people led a rally against the government,They were fighting for their future,They were misusing funds,They,people,government,government,people
137,The sniper took down the terrorist,He was a brutal money launderer,He was a ruthless assassin,He,terrorist,sniper,terrorist,sniper
138,The sniper targeted the terrorist,He was a resourceful shooter,He was a brutal money launderer,He,sniper,terrorist,terrorist,sniper
139,The sniper took aim the terrorist,He was a dangerous human rights abuser,He was a resourceful marksman,He,terrorist,sniper,sniper,terrorist
140,The sniper took aim the terrorist,He was a precise killer,He was a dangerous criminal,He,sniper,terrorist,terrorist,sniper
141,The sniper killed the terrorist,He was a notorious insurgent,He was a brutal insurgent,He,terrorist,sniper,terrorist,sniper
142,The sniper took aim the terrorist,He was a notorious drug lord,He was a resourceful marksman,He,terrorist,sniper,sniper,terrorist
143,The sniper assassinated the terrorist,He was a winning sharpshooter,He was a winning assassin,He,sniper,terrorist,sniper,terrorist
144,The passionate people organized a boycott against the government,They were making their presence known,They were fighting for their future,They,people,government,people,government
145,The precise sniper took down the terrorist,He was a ruthless human rights abuser,He was a top sharpshooter,He,terrorist,sniper,sniper,terrorist
146,The sniper eliminated the terrorist,He was a brutal war criminal,He was a dangerous extremist,He,terrorist,sniper,terrorist,sniper
147,The sniper took down the terrorist,He was a brutal assassin,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
148,The sniper fired the terrorist,He was a brutal warlord,He was a notorious guy,He,terrorist,sniper,terrorist,sniper
149,The fierce storm confused the flight,It was full of passengers,It was bringing high winds,It,flight,storm,storm,flight
150,The sniper assassinated the terrorist,He was a dangerous insurgent,He was a notorious human rights violator,He,terrorist,sniper,terrorist,sniper
151,The knife sliced through the fence easily,It was blocking the view,It was weak and unstable,It,fence,knife,fence,knife
152,The sniper took down the terrorist,He was a winning assassin,He was a ruthless war criminal,He,sniper,terrorist,terrorist,sniper
153,The sniper took aim the terrorist,He was a dangerous bomb maker,He was a ruthless human rights abuser,He,terrorist,sniper,terrorist,sniper
154,The heart beat blood with care,It was a untiring muscle,It was a self-assured organ,It,heart,blood,heart,blood
155,The bee collected nectar from the flower,It was producing nectar,It was collecting essential pollen,It,flower,bee,bee,flower
156,The sniper took aim the terrorist,He was a brutal insurgent,He was a dangerous criminal,He,terrorist,sniper,terrorist,sniper
157,The storm postponed the commercial flight,It was putting travelers in danger,It was making road conditions hazardous,It,storm,flight,storm,flight
158,The storm destroyed the international flight,It was making road conditions hazardous,It was carrying cargo,It,storm,flight,flight,storm
159,The sniper took out the terrorist,He was a brutal launderer,He was a resourceful killer,He,terrorist,sniper,sniper,terrorist
160,The winning sniper eliminated the terrorist,He was a brutal bomber,He was a veteran sharpshooter,He,terrorist,sniper,sniper,terrorist
161,The bee perched on the flower,It was supplying nectar,It was rich with nectar,It,flower,bee,flower,bee
162,The sniper executed the terrorist,He was a dangerous killer,He was a winning sharpshooter,He,terrorist,sniper,sniper,terrorist
163,The sniper took down the terrorist,He was a brutal warlord,He was a accurate shooter,He,terrorist,sniper,sniper,terrorist
164,The sniper took down the terrorist,He was a precise assassin,He was a notorious guy,He,sniper,terrorist,terrorist,sniper
165,The sturdy knife punctured the fence rapidly,It was enclosing the prison yard,It was protecting the garden from the wind,It,fence,knife,fence,knife
166,The storm forced the scheduled flight,It was producing tornadoes,It was putting lives in peril,It,storm,flight,storm,flight
167,The birds discovered the seeds,They were a flavorful food,They were sweet,They,seeds,birds,seeds,birds
168,The unswerving heart pumped blood rapidly,It was a well-functioning organ,It was a energetic muscle,It,heart,blood,heart,blood
169,The sniper targeted the terrorist,He was a brutal guy,He was a dangerous human rights abuser,He,terrorist,sniper,terrorist,sniper
170,The precise sniper took out the terrorist,He was a ruthless arms dealer,He was a successful killer,He,terrorist,sniper,sniper,terrorist
171,The massive storm caused a delay for the flight,It was flying to Hawaii,It was carrying cargo,It,flight,storm,flight,storm
172,The sniper targeted the terrorist,He was a brutal murderer,He was a winning sharpshooter,He,terrorist,sniper,sniper,terrorist
173,The people stood up against the government,They were blocking free speech,They were demanding a say,They,government,people,people,government
174,The bee approached the flower,It was attracting insects,It was making pollen,It,flower,bee,flower,bee
175,The heart pumped blood with unwavering attention,It was a untiring muscle,It was a sturdy organ,It,heart,blood,heart,blood
176,The precise sniper neutralized the terrorist,He was a veteran sharpshooter,He was a talented killer,He,sniper,terrorist,sniper,terrorist
177,The sniper neutralized the terrorist,He was a notorious human trafficker,He was a dangerous criminal,He,terrorist,sniper,terrorist,sniper
178,The sailors jumped off the boats,They were not balanced,They were ignoring the warnings,They,boats,sailors,sailors,boats
179,The sniper eliminated the terrorist,He was a ruthless dictator,He was a ruthless arms dealer,He,terrorist,sniper,terrorist,sniper
180,The precise sniper took down the terrorist,He was a dangerous arms smuggler,He was a top shooter,He,terrorist,sniper,sniper,terrorist
181,The resourceful sniper executed the terrorist,He was a top killer,He was a successful assassin,He,sniper,terrorist,sniper,terrorist
182,The sniper neutralized the terrorist,He was a ruthless bomber,He was a ruthless arms smuggler,He,terrorist,sniper,terrorist,sniper
183,The students perused the books,They were beautifully written,They were seeking enlightenment,They,books,students,students,books
184,The sniper executed the terrorist,He was a precise killer,He was a ruthless cyber criminal,He,sniper,terrorist,terrorist,sniper
185,The sniper assassinated the terrorist,He was a dangerous war criminal,He was a winning shooter,He,terrorist,sniper,sniper,terrorist
186,The sniper fired the terrorist,He was a ruthless militant,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
187,The winning sniper took aim the terrorist,He was a successful assassin,He was a brutal human rights abuser,He,sniper,terrorist,terrorist,sniper
188,The sniper eliminated the terrorist,He was a accurate marksman,He was a resourceful sharpshooter,He,sniper,terrorist,sniper,terrorist
189,The sniper eliminated the terrorist,He was a ruthless warlord,He was a notorious launderer,He,terrorist,sniper,terrorist,sniper
190,The sniper took aim the terrorist,He was a accurate assassin,He was a winning sharpshooter,He,sniper,terrorist,sniper,terrorist
191,The sniper neutralized the terrorist,He was a ruthless bomb maker,He was a brutal combatant,He,terrorist,sniper,terrorist,sniper
192,The knife scratched the fence with power,It was a durable tool,It was sharp and well-maintained,It,knife,fence,knife,fence
193,The sniper neutralized the terrorist,He was a resourceful shooter,He was a notorious combatant,He,sniper,terrorist,terrorist,sniper
194,The sniper targeted the terrorist,He was a notorious bomber,He was a notorious guy,He,terrorist,sniper,terrorist,sniper
195,The sniper assassinated the terrorist,He was a brutal human trafficker,He was a accurate marksman,He,terrorist,sniper,sniper,terrorist
196,The sniper executed the terrorist,He was a dangerous human rights violator,He was a dangerous combatant,He,terrorist,sniper,terrorist,sniper
197,The sniper executed the terrorist,He was a brutal drug lord,He was a ruthless murderer,He,terrorist,sniper,terrorist,sniper
198,The sniper eliminated the terrorist,He was a brutal arms smuggler,He was a dangerous cyber criminal,He,terrorist,sniper,terrorist,sniper
199,The sniper fired the terrorist,He was a notorious dictator,He was a accurate shooter,He,terrorist,sniper,sniper,terrorist
200,The precise sniper neutralized the terrorist,He was a dangerous human trafficker,He was a dangerous militant,He,terrorist,sniper,terrorist,sniper
201,The people raised their voices against the government,They were fighting for freedom,They were committing war crimes,They,people,government,government,people
202,The sudden storm impacted the flight,It was putting lives in peril,It was carrying a VIP,It,storm,flight,flight,storm
203,The sniper eliminated the terrorist,He was a resourceful sharpshooter,He was a resourceful shooter,He,sniper,terrorist,sniper,terrorist
204,The sniper targeted the terrorist,He was a notorious warmonger,He was a dangerous killer,He,terrorist,sniper,terrorist,sniper
205,The sniper took out the terrorist,He was a ruthless killer,He was a notorious dealer,He,terrorist,sniper,terrorist,sniper
206,The sniper took down the terrorist,He was a dangerous arms dealer,He was a notorious human rights abuser,He,terrorist,sniper,terrorist,sniper
207,The sniper fired the terrorist,He was a winning sharpshooter,He was a dangerous insurgent,He,sniper,terrorist,terrorist,sniper
208,The winning sniper eliminated the terrorist,He was a talented shooter,He was a top killer,He,sniper,terrorist,sniper,terrorist
209,The precise sniper took aim the terrorist,He was a veteran marksman,He was a talented marksman,He,sniper,terrorist,sniper,terrorist
210,The sniper targeted the terrorist,He was a precise killer,He was a dangerous killer,He,sniper,terrorist,terrorist,sniper
211,The sniper took out the terrorist,He was a dangerous money launderer,He was a notorious bomber,He,terrorist,sniper,terrorist,sniper
212,The sniper took aim the terrorist,He was a dangerous killer,He was a notorious bomber,He,terrorist,sniper,terrorist,sniper
213,The sniper neutralized the terrorist,He was a ruthless insurgent,He was a dangerous human rights abuser,He,terrorist,sniper,terrorist,sniper
214,The sniper assassinated the terrorist,He was a resourceful marksman,He was a dangerous dictator,He,sniper,terrorist,terrorist,sniper
215,The winning sniper eliminated the terrorist,He was a notorious human trafficker,He was a veteran marksman,He,terrorist,sniper,sniper,terrorist
216,The sailors sprang from the poorly-stocked boats,They were tipping over,They were ignoring the warnings,They,boats,sailors,sailors,boats
217,The knife cut through the fence firmly,It was weak and easily damaged,It was rotten and weakened by time,It,fence,knife,fence,knife
218,The sniper assassinated the terrorist,He was a precise marksman,He was a dangerous guy,He,sniper,terrorist,terrorist,sniper
219,The sniper fired the terrorist,He was a precise sharpshooter,He was a notorious dictator,He,sniper,terrorist,terrorist,sniper
220,The resourceful sniper assassinated the terrorist,He was a talented assassin,He was a successful sharpshooter,He,sniper,terrorist,sniper,terrorist
221,The heart moved blood that maintained life,It was a rejuvenating fluid,It was a energy-providing fluid,It,blood,heart,blood,heart
222,The sniper took out the terrorist,He was a brutal extremist,He was a ruthless criminal,He,terrorist,sniper,terrorist,sniper
223,The sniper executed the terrorist,He was a precise sharpshooter,He was a notorious dictator,He,sniper,terrorist,terrorist,sniper
224,The sniper took out the terrorist,He was a dangerous insurgent,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
225,The sniper took aim the terrorist,He was a brutal arms dealer,He was a dangerous dealer,He,terrorist,sniper,terrorist,sniper
226,The sniper took down the terrorist,He was a ruthless launderer,He was a notorious killer,He,terrorist,sniper,terrorist,sniper
227,The police prosecuted the criminals through the city,They were determined and focused,They were planning a bank heist,They,police,criminals,criminals,police
228,The sniper fired the terrorist,He was a accurate killer,He was a ruthless dictator,He,sniper,terrorist,terrorist,sniper
229,The people took to the streets against the government,They were embezzling funds,They were taking bribes,They,government,people,government,people
230,The sniper killed the terrorist,He was a notorious insurgent,He was a dangerous warmonger,He,terrorist,sniper,terrorist,sniper
231,The sniper took down the terrorist,He was a brutal murderer,He was a ruthless war criminal,He,terrorist,sniper,terrorist,sniper
232,The sniper took down the terrorist,He was a precise marksman,He was a dangerous murderer,He,sniper,terrorist,terrorist,sniper
233,The precise sniper took down the terrorist,He was a brutal arms smuggler,He was a top assassin,He,terrorist,sniper,sniper,terrorist
234,The sniper killed the terrorist,He was a notorious murderer,He was a ruthless human trafficker,He,terrorist,sniper,terrorist,sniper
235,The sniper eliminated the terrorist,He was a brutal human rights violator,He was a notorious guy,He,terrorist,sniper,terrorist,sniper
236,The accurate sniper eliminated the terrorist,He was a successful marksman,He was a top assassin,He,sniper,terrorist,sniper,terrorist
237,The resourceful sniper took down the terrorist,He was a talented assassin,He was a dangerous extremist,He,sniper,terrorist,terrorist,sniper
238,The winning sniper took out the terrorist,He was a dangerous dealer,He was a notorious extremist,He,terrorist,sniper,terrorist,sniper
239,The outraged people demonstrated against the government,They were asserting their power,They were violating privacy rights,They,people,government,government,people
240,The sniper fired the terrorist,He was a brutal bomb maker,He was a precise shooter,He,terrorist,sniper,sniper,terrorist
241,The birds worked hard for the seeds,They were sweet,They were flying to new destinations,They,seeds,birds,birds,seeds
242,The sniper neutralized the terrorist,He was a notorious murderer,He was a notorious militant,He,terrorist,sniper,terrorist,sniper
243,The accurate sniper targeted the terrorist,He was a dangerous dealer,He was a top shooter,He,terrorist,sniper,sniper,terrorist
244,The sniper took aim the terrorist,He was a notorious combatant,He was a dangerous warlord,He,terrorist,sniper,terrorist,sniper
245,The sniper targeted the terrorist,He was a dangerous bomb maker,He was a accurate sharpshooter,He,terrorist,sniper,sniper,terrorist
246,The accurate sniper killed the terrorist,He was a ruthless criminal,He was a notorious human trafficker,He,terrorist,sniper,terrorist,sniper
247,The sniper neutralized the terrorist,He was a dangerous militant,He was a ruthless warlord,He,terrorist,sniper,terrorist,sniper
248,The sniper assassinated the terrorist,He was a precise sharpshooter,He was a notorious combatant,He,sniper,terrorist,terrorist,sniper
249,The sniper executed the terrorist,He was a dangerous human rights violator,He was a brutal warmonger,He,terrorist,sniper,terrorist,sniper
250,The sniper killed the terrorist,He was a precise shooter,He was a brutal war criminal,He,sniper,terrorist,terrorist,sniper
251,The energetic people held a rally against the dismissive government,They were seeking change,They were denying basic needs,They,people,government,government,people
252,The sniper took aim the terrorist,He was a dangerous killer,He was a dangerous warlord,He,terrorist,sniper,terrorist,sniper
253,The sniper neutralized the terrorist,He was a ruthless guy,He was a brutal bomb maker,He,terrorist,sniper,terrorist,sniper
254,The resourceful sniper took aim the terrorist,He was a successful killer,He was a top shooter,He,sniper,terrorist,sniper,terrorist
255,The sniper targeted the terrorist,He was a ruthless launderer,He was a notorious warlord,He,terrorist,sniper,terrorist,sniper
